0.71383,0.05681,-0.04136,0.69678
0.71383,0.05681,-0.04125,0.69679
0.71384,0.05661,-0.04122,0.69680
0.71384,0.05609,-0.04156,0.69682
0.71335,0.05569,-0.04183,0.69733
0.71333,0.05576,-0.04189,0.69735
0.71329,0.05627,-0.04167,0.69736
0.71323,0.05659,-0.04138,0.69741
0.71323,0.05653,-0.04133,0.69742
0.71322,0.05627,-0.04150,0.69745
0.71320,0.05614,-0.04168,0.69746
0.71319,0.05633,-0.04163,0.69746
0.71318,0.05666,-0.04150,0.69745
0.71318,0.05683,-0.04132,0.69745
0.71319,0.05669,-0.04135,0.69745
0.71333,0.05633,-0.04152,0.69732
0.71333,0.05607,-0.04165,0.69734
0.71332,0.05611,-0.04166,0.69734
0.71332,0.05631,-0.04154,0.69734
0.71332,0.05639,-0.04148,0.69734
0.71332,0.05632,-0.04150,0.69734
0.71331,0.05624,-0.04151,0.69735
0.71330,0.05633,-0.04147,0.69736
0.71329,0.05651,-0.04140,0.69736
0.71329,0.05660,-0.04137,0.69735
0.71329,0.05650,-0.04146,0.69736
0.71108,0.05646,-0.04134,0.69962
0.71109,0.05640,-0.04133,0.69962
0.71108,0.05645,-0.04128,0.69962
0.71108,0.05646,-0.04132,0.69962
0.71108,0.05635,-0.04142,0.69963
0.71107,0.05621,-0.04149,0.69964
0.71107,0.05621,-0.04146,0.69965
0.71106,0.05633,-0.04139,0.69965
0.71106,0.05649,-0.04130,0.69965
0.71105,0.05649,-0.04130,0.69965
0.71104,0.05641,-0.04137,0.69967
0.70989,0.05644,-0.04130,0.70083
0.70988,0.05654,-0.04126,0.70083
0.70988,0.05667,-0.04118,0.70083
0.70990,0.05678,-0.04100,0.70082
0.71033,0.05668,-0.04168,0.70034
0.71109,0.05586,-0.03822,0.69984
0.71100,0.05715,-0.04101,0.69966
0.71043,0.05621,-0.03924,0.70042
0.71073,0.05606,-0.03442,0.70038
0.71366,0.05940,-0.03521,0.69708
0.71923,0.06004,-0.03456,0.69131
0.71738,0.05897,-0.03409,0.69334
0.71481,0.06194,-0.02827,0.69599
0.70801,0.06568,-0.02160,0.70281
0.70573,0.06857,-0.01832,0.70491
0.70529,0.07025,-0.01516,0.70527
0.70511,0.07180,-0.01093,0.70537
0.70510,0.07386,-0.00469,0.70524
0.70471,0.07583,0.00194,0.70543
0.70389,0.07742,0.00848,0.70602
0.70278,0.07874,0.01535,0.70687
0.70098,0.08084,0.02382,0.70818
0.69651,0.08465,0.03466,0.71169
0.69465,0.09081,0.04616,0.71210
0.69371,0.09900,0.06148,0.71077
0.69208,0.10986,0.08130,0.70877
0.68911,0.12290,0.10505,0.70639
0.68543,0.13783,0.13032,0.70299
0.68222,0.15400,0.15646,0.69741
0.67973,0.17054,0.18359,0.68933
0.67772,0.18746,0.21017,0.67925
